rank_x,postid,rank_y,rank
804.0,56530842,39.0,
577.0,23840523,,2844.0
3850.0,3099219,,
677.0,22569176,1862.0,
1585.0,8843700,1431.0,
1707.0,1815606,144.0,
933.0,47405422,3964.0,
1201.0,5226807,,2750.0
2448.0,18406991,,
1116.0,5465314,24.0,
300.0,28574757,,
655.0,24904683,1.0,
3372.0,52334944,,
914.0,15625990,,
1412.0,29583849,,148.0
166.0,31458051,,
3453.0,45405167,1883.0,
407.0,33263759,101.0,
6.0,52334683,,
1433.0,7864931,,
67.0,6558921,928.0,
1085.0,22945651,,
330.0,4227223,,
2424.0,7611169,,
3434.0,12786335,,
3924.0,7355187,274.0,1614.0
3573.0,8091303,,
3629.0,9555889,,
4.0,3606697,,
667.0,11214012,,
2766.0,31690007,,
1919.0,15875786,,
14.0,36478278,,
666.0,56817353,,
579.0,25866788,,263.0
4.0,7549694,,
1194.0,12409960,,
884.0,59184868,,
967.0,6644997,,1126.0
27.0,8751497,,739.0
788.0,22305444,,
399.0,11562656,,
662.0,14680075,,
256.0,28006813,,
139.0,39746947,,747.0
1.0,41052687,,
514.0,36110331,,
563.0,50229410,21.0,658.0
545.0,57867429,88.0,
505.0,50838664,,
1115.0,60450608,,
808.0,19895107,1987.0,
1562.0,54943418,123.0,
14.0,15097497,,2808.0
2770.0,17718842,1988.0,
780.0,44457243,3772.0,
1140.0,37924896,,
192.0,13577918,,
1469.0,18694281,,
87.0,48651010,3675.0,432.0
173.0,50483582,1421.0,
3.0,43970831,1837.0,
697.0,52840058,,729.0
203.0,37110555,,
16.0,37193380,293.0,
2972.0,43990569,,
1557.0,55721820,,3499.0
1586.0,43435385,1.0,
480.0,51000699,,
56.0,31949659,38.0,
2981.0,13812373,2541.0,
322.0,26618951,1.0,
2018.0,56503342,,2988.0
1411.0,16132625,1993.0,
14.0,49435594,,
1168.0,30113308,2848.0,
1.0,26354768,,325.0
465.0,38675292,,2.0
1784.0,50048754,3364.0,
341.0,54661129,,
722.0,21630406,,
1070.0,46643184,1.0,16.0
15.0,7473067,42.0,
1081.0,44434739,345.0,
2253.0,38782051,,
1333.0,52086833,,
1.0,54000814,,
750.0,23217681,1711.0,
1220.0,56490797,,
1722.0,58685422,,
3998.0,53701824,1.0,
3432.0,57601875,1378.0,
640.0,15591880,88.0,
390.0,23017552,441.0,
561.0,43660562,853.0,1323.0
8.0,56484967,61.0,
19.0,47183558,,
3256.0,9298765,,
1790.0,47570984,220.0,3729.0
1563.0,38133485,1459.0,1488.0
236.0,37450698,170.0,
1505.0,11394091,,
855.0,47044939,778.0,1217.0
1315.0,42587758,1999.0,
1901.0,57529808,1585.0,
1585.0,54426953,,
1384.0,47083455,,
59.0,35075215,483.0,568.0
361.0,44419857,1454.0,
352.0,33015823,6.0,
9.0,39808631,,
3.0,22661397,,
884.0,8899096,,
733.0,59360232,63.0,
837.0,52281220,2.0,
1052.0,33442362,2749.0,3.0
366.0,18706182,1623.0,
1606.0,56736475,,
570.0,50273919,1.0,2745.0
